  0.084 (0.000): C3616: pc: 020000d4 Decode: SW r13=0x00900008, r10=0x03f00000, imm=0x0000000c
  0.085 (0.000): C3619: pc: 020000d8 Decode: SW r13=0x00900008, r12=0x00040000, imm=0x00000010
  0.085 (0.000): C3622: pc: 020000dc Decode: SW r13=0x00900008, r14=0x00000000, imm=0x00000014
  0.085 (0.000): C3625: pc: 020000e0 Decode: SW r13=0x00900008, r0=0x00000000, imm=0x00000018
  0.085 (0.000): C3628: pc: 020000e4 Decode: SW r13=0x00900008, r0=0x00000000, imm=0x0000001c
  0.085 (0.000): C3631: pc: 020000e8 Decode: SW r13=0x00900008, r0=0x00000000, imm=0x00000020
  0.085 (0.000): C3634: pc: 020000ec Decode: AUIPC r0=0x00000000, r0=0x00000000, imm=0x00000000
  0.085 (0.000): C3637: pc: 020000f0 Decode: JALR r1=0x020000ec, r24=0x00000000, imm=0x00000138
  0.085 (0.000): C3640: pc: 02000224 Decode: ADDI r2=0x008fffcc, r0=0x00000000, imm=0xffffffe0
  0.085 (0.000): C3643: pc: 02000228 Decode: SW r2=0x008fffac, r1=0x020000f4, imm=0x0000001c
  0.085 (0.000): C3646: pc: 0200022c Decode: SW r2=0x008fffac, r8=0x00900030, imm=0x00000018
  0.085 (0.000): C3649: pc: 02000230 Decode: SW r2=0x008fffac, r9=0x00000000, imm=0x00000014
  0.085 (0.000): C3652: pc: 02000234 Decode: SW r2=0x008fffac, r18=0x00000000, imm=0x00000010
  0.085 (0.000): C3655: pc: 02000238 Decode: LUI r0=0x00000000, r9=0x00000000, imm=0x00900000
  0.085 (0.000): C3658: pc: 0200023c Decode: ADDI r10=0x00900000, r8=0x00900030, imm=0x00000008
  0.085 (0.000): C3661: pc: 02000240 Decode: ADDI r8=0x00900008, r0=0x00000000, imm=0x00000000
  0.085 (0.000): C3664: pc: 02000244 Decode: AUIPC r0=0x00000000, r0=0x00000000, imm=0x00000000
  0.085 (0.000): C3667: pc: 02000248 Decode: JALR r1=0x02000244, r8=0x00900008, imm=0x00000308
  0.085 (0.000): C3670: pc: 0200054c Decode: ADDI r2=0x008fffac, r16=0x00000000, imm=0xfffffff0
  0.085 (0.000): C3673: pc: 02000550 Decode: SW r2=0x008fff9c, r1=0x0200024c, imm=0x0000000c
  0.085 (0.000): C3676: pc: 02000554 Decode: SW r2=0x008fff9c, r8=0x00900008, imm=0x00000008
  0.085 (0.000): C3679: pc: 02000558 Decode: SW r2=0x008fff9c, r9=0x00000000, imm=0x00000004
  0.085 (0.000): C3682: pc: 0200055c Decode: ADDI r10=0x00900008, r0=0x00000000, imm=0x00000000
  0.085 (0.000): C3685: pc: 02000560 Decode: LW r10=0x00900008, r0=0x00000000, imm=0x00000020
  0.085 (0.000): C3688: pc: 02000564 Decode: ADDI r8=0x00900008, r0=0x00000000, imm=0x00000020
  0.085 (0.000): C3691: pc: 02000568 Decode: BNE r10=0x00000000, r0=0x00000000, imm=0x0000005c
  0.085 (0.000): C3694: pc: 0200056c Decode: LUI r0=0x00000000, r31=0x00000000, imm=0x01f00000
  0.085 (0.000): C3697: pc: 02000570 Decode: SW r10=0x01f00000, r0=0x00000000, imm=0x00000014
  0.085 (0.000): C3700: pc: 02000574 Decode: SW r10=0x01f00000, r0=0x00000000, imm=0x00000018
  0.085 (0.000): C3703: pc: 02000578 Decode: LUI r0=0x00000000, r0=0x00000000, imm=0x02003000
  0.086 (0.000): C3706: pc: 0200057c Decode: ADDI r11=0x02003000, r24=0x00000000, imm=0xfffffc98
  0.086 (0.000): C3709: pc: 02000580 Decode: SW r10=0x01f00000, r11=0x02002c98, imm=0x0000001c
  0.086 (0.000): C3712: pc: 02000584 Decode: LW r8=0x00900008, r28=0x00000000, imm=0x0000001c
  0.086 (0.000): C3715: pc: 02000588 Decode: SLLI r10=0x00000000, r2=0x008fff9c, imm=0x00000002
  0.086 (0.000): C3718: pc: 0200058c Decode: LUI r0=0x00000000, r30=0x00000000, imm=0x01e00000
  0.086 (0.000): C3721: pc: 02000590 Decode: ADD r11=0x00000000, r12=0x01e00000, imm=0x00000000
  0.086 (0.000): C3724: pc: 02000594 Decode: LW r11=0x01e00000, r0=0x00000000, imm=0x00000000
  0.086 (0.000): C3727: pc: 02000598 Decode: ADDI r10=0x00000000, r1=0x0200024c, imm=0x00000001
  0.086 (0.000): C3730: pc: 0200059c Decode: ADDI r11=0x00000010, r3=0x00900800, imm=0x00000003
  0.086 (0.000): C3733: pc: 020005a0 Decode: SRLI r10=0x00000013, r2=0x008fff9c, imm=0x00000002
  0.086 (0.000): C3736: pc: 020005a4 Decode: SLLI r13=0x00000001, r2=0x008fff9c, imm=0x00000002
  0.086 (0.000): C3739: pc: 020005a8 Decode: ADD r10=0x00000004, r12=0x01e00000, imm=0x00000000
  0.086 (0.000): C3742: pc: 020005ac Decode: ADD r11=0x00000004, r13=0x00000001, imm=0x00000000
  0.086 (0.000): C3745: pc: 020005b0 Decode: SW r8=0x00900008, r12=0x00000005, imm=0x0000001c
  0.086 (0.000): C3748: pc: 020005b4 Decode: AUIPC r0=0x00000000, r0=0x00000000, imm=0x00000000
  0.086 (0.000): C3751: pc: 020005b8 Decode: JALR r1=0x020005b4, r20=0x00000000, imm=0x000006b4
  0.086 (0.000): C3754: pc: 02000c68 Decode: JALR r1=0x020005bc, r0=0x00000000, imm=0x00000000
  0.086 (0.000): C3757: pc: 020005bc Decode: SW r8=0x00900008, r10=0x01e00004, imm=0x00000020
  0.086 (0.000): C3760: pc: 020005c0 Decode: SW r8=0x00900008, r11=0x00000004, imm=0x00000024
  0.086 (0.000): C3763: pc: 020005c4 Decode: ADDI r9=0x00900028, r0=0x00000000, imm=0x00000000
  0.086 (0.000): C3766: pc: 020005c8 Decode: LW r2=0x008fff9c, r12=0x00000005, imm=0x0000000c
  0.086 (0.000): C3769: pc: 020005cc Decode: LW r2=0x008fff9c, r8=0x00900008, imm=0x00000008
  0.086 (0.000): C3772: pc: 020005d0 Decode: LW r2=0x008fff9c, r4=0x00000000, imm=0x00000004
  0.086 (0.000): C3775: pc: 020005d4 Decode: ADDI r2=0x008fff9c, r16=0x00000000, imm=0x00000010
  0.086 (0.000): C3778: pc: 020005d8 Decode: JALR r1=0x0200024c, r0=0x00000000, imm=0x00000000
  0.086 (0.000): C3781: pc: 0200024c Decode: ADDI r10=0x00900028, r0=0x00000000, imm=0x00000000
  0.086 (0.000): C3784: pc: 02000250 Decode: ADDI r2=0x008fffac, r0=0x00000000, imm=0x00000000
  0.086 (0.000): C3787: pc: 02000254 Decode: AUIPC r0=0x00000000, r0=0x00000000, imm=0x00001000
  0.087 (0.000): C3790: pc: 02000258 Decode: JALR r1=0x02001254, r24=0x00000000, imm=0xfffffa18
  0.087 (0.000): C3793: pc: 02000c6c Decode: LW r11=0x00900028, r4=0x00000000, imm=0x00000004
  0.087 (0.000): C3796: pc: 02000c70 Decode: ADDI r0=0x00000000, r1=0x0200025c, imm=0x00000001
  0.087 (0.000): C3799: pc: 02000c74 Decode: BGEU r12=0x00000001, r13=0x00000004, imm=0x00000030
  0.087 (0.000): C3802: pc: 02000c78 Decode: LW r11=0x00900028, r0=0x00000000, imm=0x00000000
  0.087 (0.000): C3805: pc: 02000c7c Decode: ADDI r12=0x01e00004, r8=0x00900008, imm=0x00000008
  0.087 (0.000): C3808: pc: 02000c80 Decode: ADDI r13=0x00000004, r30=0x00000000, imm=0xfffffffe
  0.087 (0.000): C3811: pc: 02000c84 Decode: SW r11=0x00900028, r14=0x01e0000c, imm=0x00000000
  0.087 (0.000): C3814: pc: 02000c88 Decode: SW r11=0x00900028, r13=0x00000002, imm=0x00000004
  0.087 (0.000): C3817: pc: 02000c8c Decode: LW r12=0x01e00004, r4=0x00000000, imm=0x00000004
  0.087 (0.000): C3820: pc: 02000c90 Decode: LW r12=0x01e00004, r0=0x00000000, imm=0x00000000
  0.087 (0.000): C3823: pc: 02000c94 Decode: SW r10=0x008fffac, r11=0x00000000, imm=0x0000000c
  0.087 (0.000): C3826: pc: 02000c98 Decode: SW r10=0x008fffac, r13=0x00000011, imm=0x00000008
  0.087 (0.000): C3829: pc: 02000c9c Decode: SB r10=0x008fffac, r0=0x00000000, imm=0x00000000
  0.087 (0.000): C3832: pc: 02000ca0 Decode: JALR r1=0x0200025c, r0=0x00000000, imm=0x00000000
  0.087 (0.000): C3835: pc: 0200025c Decode: LBU r2=0x008fffac, r0=0x00000000, imm=0x00000000
  0.087 (0.000): C3838: pc: 02000260 Decode: BNE r10=0x00000000, r0=0x00000000, imm=0x0000007c
  0.087 (0.000): C3841: pc: 02000264 Decode: LW r2=0x008fffac, r12=0x01e00004, imm=0x0000000c
  0.087 (0.000): C3844: pc: 02000268 Decode: LW r2=0x008fffac, r8=0x00900008, imm=0x00000008
  0.087 (0.000): C3847: pc: 0200026c Decode: ADDI r8=0x00900008, r0=0x00000000, imm=0x00000000
  0.087 (0.000): C3850: pc: 02000270 Decode: AUIPC r0=0x00000000, r0=0x00000000, imm=0x00000000
  0.087 (0.000): C3853: pc: 02000274 Decode: JALR r1=0x02000270, r28=0x00000000, imm=0x000002dc
  0.087 (0.000): C3856: pc: 0200054c Decode: ADDI r2=0x008fffac, r16=0x00000000, imm=0xfffffff0
  0.087 (0.000): C3859: pc: 02000550 Decode: SW r2=0x008fff9c, r1=0x02000278, imm=0x0000000c
  0.087 (0.000): C3862: pc: 02000554 Decode: SW r2=0x008fff9c, r8=0x00900008, imm=0x00000008
  0.087 (0.000): C3865: pc: 02000558 Decode: SW r2=0x008fff9c, r9=0x00000011, imm=0x00000004
  0.087 (0.000): C3868: pc: 0200055c Decode: ADDI r10=0x00900008, r0=0x00000000, imm=0x00000000
  0.087 (0.000): C3871: pc: 02000560 Decode: LW r10=0x00900008, r0=0x00000000, imm=0x00000020
  0.087 (0.000): C3874: pc: 02000564 Decode: ADDI r8=0x00900008, r0=0x00000000, imm=0x00000020
  0.087 (0.000): C3877: pc: 02000568 Decode: BNE r10=0x01e0000c, r0=0x00000000, imm=0x0000005c
  0.087 (0.000): C3880: pc: 020005c4 Decode: ADDI r9=0x00900028, r0=0x00000000, imm=0x00000000
  0.088 (0.000): C3883: pc: 020005c8 Decode: LW r2=0x008fff9c, r12=0x01e00004, imm=0x0000000c
  0.088 (0.000): C3886: pc: 020005cc Decode: LW r2=0x008fff9c, r8=0x00900008, imm=0x00000008
  0.088 (0.000): C3889: pc: 020005d0 Decode: LW r2=0x008fff9c, r4=0x00000000, imm=0x00000004
  0.088 (0.000): C3892: pc: 020005d4 Decode: ADDI r2=0x008fff9c, r16=0x00000000, imm=0x00000010
  0.088 (0.000): C3895: pc: 020005d8 Decode: JALR r1=0x02000278, r0=0x00000000, imm=0x00000000
  0.088 (0.000): C3898: pc: 02000278 Decode: ADDI r10=0x00900028, r0=0x00000000, imm=0x00000000
  0.088 (0.000): C3901: pc: 0200027c Decode: ADDI r2=0x008fffac, r0=0x00000000, imm=0x00000000
  0.088 (0.000): C3904: pc: 02000280 Decode: AUIPC r0=0x00000000, r0=0x00000000, imm=0x00001000
  0.088 (0.000): C3907: pc: 02000284 Decode: JALR r1=0x02001280, r12=0x01e00004, imm=0xfffff9ec
  0.088 (0.000): C3910: pc: 02000c6c Decode: LW r11=0x00900028, r4=0x00000000, imm=0x00000004
  0.088 (0.000): C3913: pc: 02000c70 Decode: ADDI r0=0x00000000, r1=0x02000288, imm=0x00000001
  0.088 (0.000): C3916: pc: 02000c74 Decode: BGEU r12=0x00000001, r13=0x00000002, imm=0x00000030
  0.088 (0.000): C3919: pc: 02000c78 Decode: LW r11=0x00900028, r0=0x00000000, imm=0x00000000
  0.088 (0.000): C3922: pc: 02000c7c Decode: ADDI r12=0x01e0000c, r8=0x00900008, imm=0x00000008
  0.088 (0.000): C3925: pc: 02000c80 Decode: ADDI r13=0x00000002, r30=0x00000000, imm=0xfffffffe
  0.088 (0.000): C3928: pc: 02000c84 Decode: SW r11=0x00900028, r14=0x01e00014, imm=0x00000000
  0.088 (0.000): C3931: pc: 02000c88 Decode: SW r11=0x00900028, r13=0x00000000, imm=0x00000004
  0.088 (0.000): C3934: pc: 02000c8c Decode: LW r12=0x01e0000c, r4=0x00000000, imm=0x00000004
  0.088 (0.000): C3937: pc: 02000c90 Decode: LW r12=0x01e0000c, r0=0x00000000, imm=0x00000000
  0.088 (0.000): C3940: pc: 02000c94 Decode: SW r10=0x008fffac, r11=0x00000000, imm=0x0000000c
  0.088 (0.000): C3943: pc: 02000c98 Decode: SW r10=0x008fffac, r13=0x00000017, imm=0x00000008
  0.088 (0.000): C3946: pc: 02000c9c Decode: SB r10=0x008fffac, r0=0x00000000, imm=0x00000000
  0.088 (0.000): C3949: pc: 02000ca0 Decode: JALR r1=0x02000288, r0=0x00000000, imm=0x00000000
  0.088 (0.000): C3952: pc: 02000288 Decode: LBU r2=0x008fffac, r0=0x00000000, imm=0x00000000
  0.088 (0.000): C3955: pc: 0200028c Decode: BNE r10=0x00000000, r0=0x00000000, imm=0x00000050
  0.088 (0.000): C3958: pc: 02000290 Decode: LW r2=0x008fffac, r8=0x00900008, imm=0x00000008
  0.088 (0.000): C3961: pc: 02000294 Decode: LW r2=0x008fffac, r12=0x01e0000c, imm=0x0000000c
  0.088 (0.000): C3964: pc: 02000298 Decode: MULU r10=0x00000017, r9=0x00000011, imm=0x00000000
  0.088 (0.000): C3967: pc: 0200029c Decode: MUL r10=0x00000017, r18=0x00000000, imm=0x00000000
  0.089 (0.000): C3970: pc: 020002a0 Decode: ADD r12=0x00000000, r13=0x00000000, imm=0x00000000
  0.089 (0.000): C3973: pc: 020002a4 Decode: MUL r11=0x00000000, r9=0x00000011, imm=0x00000000
  0.089 (0.000): C3976: pc: 020002a8 Decode: ADD r12=0x00000000, r11=0x00000000, imm=0x00000000
  0.089 (0.000): C3979: pc: 020002ac Decode: MUL r10=0x00000017, r9=0x00000011, imm=0x00000000
  0.089 (0.000): C3982: pc: 020002b0 Decode: SW r2=0x008fffac, r10=0x00000187, imm=0x00000000
  0.089 (0.000): C3985: pc: 020002b4 Decode: SW r2=0x008fffac, r11=0x00000000, imm=0x00000004
  0.089 (0.000): C3988: pc: 020002b8 Decode: ADDI r2=0x008fffac, r0=0x00000000, imm=0x00000000
  0.089 (0.000): C3991: pc: 020002bc Decode: AUIPC r0=0x00000000, r0=0x00000000, imm=0x00000000
  0.089 (0.000): C3994: pc: 020002c0 Decode: JALR r1=0x020002bc, r16=0x00000000, imm=0xfffffe50
  0.089 (0.000): C3997: pc: 0200010c Decode: ADDI r2=0x008fffac, r0=0x00000000, imm=0xffffffe0
  0.089 (0.000): C4000: pc: 02000110 Decode: SW r2=0x008fff8c, r1=0x020002c4, imm=0x0000001c
  0.089 (0.000): C4003: pc: 02000114 Decode: SW r2=0x008fff8c, r8=0x00900008, imm=0x00000018
  0.089 (0.000): C4006: pc: 02000118 Decode: SW r2=0x008fff8c, r9=0x00000011, imm=0x00000014
  0.089 (0.000): C4009: pc: 0200011c Decode: SW r2=0x008fff8c, r18=0x00000000, imm=0x00000010
  0.089 (0.000): C4012: pc: 02000120 Decode: LW r10=0x008fffac, r4=0x00000000, imm=0x00000004
  0.089 (0.000): C4015: pc: 02000124 Decode: LW r10=0x008fffac, r0=0x00000000, imm=0x00000000
  0.089 (0.000): C4018: pc: 02000128 Decode: LUI r0=0x00000000, r9=0x00000011, imm=0x00900000
  0.089 (0.000): C4021: pc: 0200012c Decode: ADDI r10=0x00900000, r20=0x00000000, imm=0x00000014
  0.089 (0.000): C4024: pc: 02000130 Decode: ADDI r9=0x00900014, r0=0x00000000, imm=0x00000000
  0.089 (0.000): C4027: pc: 02000134 Decode: AUIPC r0=0x00000000, r0=0x00000000, imm=0x00001000
